Name,Facture du mois,Total à payer mois en cours,Total payé mois en cours,à réintégrer mois en cours,solde non payés - mois en cours,payer ce mois ci sur la dette,payer ce mois ci sur l'encours,payer ce mois ci dette + encours,Total dépensé dans le moi,Date,Mois moins 1
2025-12,,"4377,13","1798,00","9892,09","14269,22","1646,26","2461,43","4107,69","5905,69",12/25,
2025-11,,"4769,50","4914,57","9489,46","14258,96","1646,26","5252,69","6898,95","11813,52",11/25,
30/10/25,Octobre 2025,"2023,50","5124,31","14732,15","21383,65","3051,27","4946,39","7997,66","13121,97",10/25,
